drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
2012-06-18,2,5,19,22,43,0,218.5,10
2012-06-17,2,10,21,22,30,0,181,9
2012-06-16,12,13,15,34,36,751080,317.5,12.5
2012-06-15,10,20,27,42,43,0,331.5,13
2012-06-14,7,9,14,25,32,0,231,10
2012-06-13,13,15,33,36,42,0,344,15
2012-06-12,1,14,17,20,28,0,187,9.5
2012-06-11,15,17,19,25,30,1422602,220,10.5
2012-06-10,2,5,21,26,33,0,260,10.5
2012-06-09,3,13,20,35,37,0,293,12
2012-06-08,10,12,24,37,39,0,224.5,11
2012-06-07,9,15,20,27,35,0,242.5,11
2012-06-06,13,17,22,32,40,0,284,13.5
2012-06-05,1,2,12,20,33,0,211.5,9.5
2012-06-04,8,28,31,37,38,502114,324,12
2012-06-03,11,20,25,26,40,0,337,13
2012-06-02,3,21,25,35,39,0,240,12.5
2012-06-01,3,4,30,34,39,0,311,13.5
2012-05-31,1,7,11,12,24,225000,100,6
2012-05-30,6,7,16,29,40,0,299.5,13
2012-05-29,19,20,25,39,42,125000,289.5,16
2012-05-28,3,5,8,32,41,1284141,293,11
2012-05-27,2,3,24,28,34,0,281.5,11
2012-05-26,2,29,37,38,41,0,308.5,13.5
2012-05-25,5,13,15,28,40,0,262.5,11
2012-05-24,1,4,9,22,36,0,194,10
2012-05-23,10,15,16,18,37,0,325,12
2012-05-22,13,29,35,39,42,0,463.5,15
2012-05-21,11,26,31,33,43,225000,354,13
2012-05-20,5,15,19,26,40,0,251.5,11
2012-05-19,2,7,8,14,31,495240.5,165.5,9
2012-05-18,17,25,26,29,32,0,319,12
2012-05-17,8,14,23,27,35,0,245.5,10.5
2012-05-16,33,34,35,40,43,0,344.5,16
2012-05-15,13,17,21,25,41,325000,278.5,11.5
2012-05-14,9,17,26,32,41,0,263.5,14
2012-05-13,6,24,28,32,41,0,316,15
2012-05-12,3,24,30,31,33,225000,217,10.5
2012-05-11,3,7,17,39,43,0,281,10.5
2012-05-10,6,8,11,18,31,325000,184,8.5
2012-05-09,17,18,38,41,43,0,347.5,15.5
2012-05-08,18,27,28,32,33,0,306.5,13
2012-05-07,11,16,22,24,29,125000,191.5,9
2012-05-06,2,13,16,35,43,225000,349,14.5
2012-05-05,15,24,33,42,43,0,294.5,15.5
2012-05-04,3,6,20,32,40,754704,319,12.5
2012-05-03,1,12,14,18,21,0,187,9.5
2012-05-02,12,17,27,29,39,0,224,10
2012-05-01,22,24,28,29,35,0,309.5,13
2012-04-30,3,14,17,38,42,0,355.5,13.5
2012-04-29,19,20,21,24,26,225000,244.5,10.5
2012-04-28,6,31,33,37,40,0,531,16
2012-04-27,12,14,36,37,38,332674,320.5,13.5
2012-04-26,5,20,23,26,41,0,280.5,12
2012-04-25,18,19,22,27,36,0,279.5,12
2012-04-24,8,18,21,34,41,325000,315,13.5
2012-04-23,7,12,25,29,42,0,255.5,11
2012-04-22,2,10,12,19,34,0,159,8
2012-04-21,16,23,29,30,33,330213.5,307.5,11.5
2012-04-20,16,17,23,38,40,0,372.5,14.5
2012-04-19,1,3,19,36,42,0,328.5,13.5
2012-04-18,1,6,16,30,39,494187,247,11.5
2012-04-17,3,6,13,28,39,0,211,9.5
2012-04-16,3,6,13,36,42,0,329,12.5
2012-04-15,5,7,33,39,42,0,288,12.5
2012-04-14,8,11,14,23,42,125000,246.5,10
2012-04-13,6,16,19,22,35,125000,314,11.5
2012-04-12,3,19,32,33,41,529529,311,13
2012-04-11,10,14,15,30,43,0,307.5,12
2012-04-10,3,5,14,30,33,0,256,9.5
2012-04-09,3,5,23,37,43,0,313,11
2012-04-08,4,5,9,25,30,125000,153,7
2012-04-07,3,6,9,15,16,538650,155.5,8.5
2012-04-06,3,10,12,14,42,0,294,10.5
2012-04-05,6,14,34,35,37,0,367.5,14
2012-04-04,26,27,34,40,43,0,437.5,17
2012-04-03,8,10,26,29,33,495526.5,268.5,10.5
2012-04-02,3,7,18,20,26,0,174.5,9
2012-04-01,2,8,24,30,39,0,265,10.5
2012-03-31,2,8,11,18,41,0,217,10
2012-03-30,1,6,19,31,37,349653.5,325.5,12
2012-03-29,2,13,24,29,37,0,274,11.5
2012-03-28,1,4,11,14,36,0,192.5,9.5
2012-03-27,3,13,22,25,36,327946.5,232,11
2012-03-26,11,15,20,30,31,0,233,10
2012-03-25,6,15,32,34,38,0,303,16
2012-03-24,6,18,22,27,33,225000,251,11
2012-03-23,2,6,14,22,34,0,202,10.5
2012-03-22,7,11,17,23,37,493578,127.5,8
2012-03-21,7,9,12,16,27,0,161,7.5
2012-03-20,1,3,11,20,34,0,283.5,10
2012-03-19,1,21,23,27,43,0,350,12
2012-03-18,5,9,13,33,35,325000,242.5,9.5
2012-03-17,4,15,19,28,38,0,232,10.5
2012-03-16,11,15,16,19,23,0,213,8.5
2012-03-15,2,7,17,31,32,1115639.5,256.5,10.5
2012-03-14,3,4,12,13,41,0,266.5,11
2012-03-13,19,21,24,31,36,0,293,11.5
2012-03-12,11,17,22,36,38,0,278.5,12
2012-03-11,5,11,12,27,30,0,142,7
2012-03-10,4,15,20,27,30,0,236,9.5
2012-03-09,12,16,18,28,36,520997.5,243.5,11
2012-03-08,4,21,31,33,43,0,310.5,12.5
2012-03-07,4,7,13,32,34,0,318.5,11
2012-03-06,15,16,19,25,36,0,292.5,12.5
2012-03-05,5,9,23,40,43,125000,328,12
2012-03-04,1,4,16,17,31,125000,188.5,9.5
2012-03-03,14,18,29,38,39,341914,321,12.5
2012-03-02,11,26,29,32,39,0,316,13
2012-03-01,9,25,32,35,42,0,392.5,15
2012-02-29,2,8,11,18,29,225000,127,7.5
2012-02-28,3,10,34,39,40,0,478,15.5
2012-02-27,13,20,22,29,33,325000,244,11
2012-02-26,4,16,25,28,29,0,201.5,9.5
2012-02-25,14,18,21,23,41,0,264,13
2012-02-24,7,8,15,29,33,125000,289,10
2012-02-23,2,11,14,21,23,225000,173,8
2012-02-22,4,15,28,42,43,0,373.5,14.5
2012-02-21,12,25,28,38,41,500131.5,255,12.5
2012-02-20,3,8,16,26,34,0,224.5,10.5
2012-02-19,2,19,28,33,34,0,314.5,12
2012-02-18,4,21,28,36,42,0,364.5,14
2012-02-17,1,13,25,36,41,125000,251,14.5
2012-02-16,4,23,24,33,34,225000,272,12
2012-02-15,4,25,29,30,33,0,281,11.5
2012-02-14,24,29,31,32,33,225000,306.5,14
2012-02-13,1,5,14,19,23,0,143,7.5
2012-02-12,10,13,15,29,39,225000,208.5,10.5
2012-02-11,3,10,22,23,34,0,211.5,10
2012-02-10,8,15,20,22,37,347547,255.5,11.5
2012-02-09,9,11,16,24,36,0,241,10
2012-02-08,12,19,32,40,42,0,319.5,14
2012-02-07,15,20,27,35,36,513677.5,309,13
2012-02-06,7,11,23,25,27,0,135,7.5
2012-02-05,7,10,14,38,42,0,328.5,12.5
2012-02-04,10,17,19,23,34,0,204.5,9.5
2012-02-03,7,8,31,41,43,340631,319,14
2012-02-02,11,14,19,24,40,0,316,11
2012-02-01,6,9,21,33,43,0,192.5,11
